Progress;Duration (in seconds);Finished;Q4;q1;Q2;Q3;QID5;Q6;Q7;Q8;Q9;Q10;Q18;CHV1;CHV2;CHV3;CHV4;CHV5;CEV1;CEV2;CEV3;CEV4;CEV5;CEV6;CEV7;CEV8;CRV1;CRV2;CRV3;CRV4;CRV5;CRV6;PRHV1;PRHV2;PRHV3;PRHV4;PRHV5;PRHV6;Ambidestreza1;Ambidestreza2;Ambidestreza3;Ambidestreza4;Ambidestreza5;Ambidestreza6;Ambidestreza7;Ambidestreza8;VCV1;VCV2;VCV3;VCV4;VCV5;VCV6;VCV7;VCV8;VCV9;VCV10;VCV11;CEV;CHV;CRV
100.000000000000;147.000000000000;1.000000000000;1.000000000000;2.000000000000;xxxc;xxx;1.000000000000;2.000000000000;xxxx;Ingeniero;1.000000000000;Chilena;;7.000000000000;7.000000000000;7.000000000000;7.000000000000;6.000000000000;6.000000000000;7.000000000000;7.000000000000;7.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;3.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;7.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;7.000000000000;7.000000000000;6.000000000000;6.000000000000;7.000000000000;6.000000000000;6.000000000000;7.000000000000;7.000000000000;6.000000000000;6.000000000000;6.000000000000;7.000000000000;6.000000000000;3.000000000000;7.000000000000;948.000000000000;1087.000000000000;538.000000000000
100.000000000000;344.000000000000;1.000000000000;1.000000000000;2.000000000000;40.000000000000;10.000000000000;1.000000000000;1.000000000000;Jefe de área;Ing. Minas;1.000000000000;Peruano;;6.000000000000;5.000000000000;6.000000000000;4.000000000000;6.000000000000;6.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;3.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;5.000000000000;4.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;7.000000000000;5.000000000000;6.000000000000;5.000000000000;6.000000000000;3.000000000000;7.000000000000;545.000000000000;-66.000000000000;538.000000000000
100.000000000000;179.000000000000;1.000000000000;1.000000000000;2.000000000000;43.000000000000;5.000000000000;1.000000000000;1.000000000000;Administrador de contratos;Ingeniero en administración;2.000000000000;Ecuador;;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;3.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;5.000000000000;7.000000000000;7.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;5.000000000000;1458.000000000000;1224.000000000000;1337.000000000000
100.000000000000;160.000000000000;1.000000000000;1.000000000000;1.000000000000;45.000000000000;5.000000000000;1.000000000000;1.000000000000;Jefe;Ingeniero;1.000000000000;Chilena;1.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;1458.000000000000;1224.000000000000;1337.000000000000
100.000000000000;4408.000000000000;1.000000000000;1.000000000000;2.000000000000;48.000000000000;22.000000000000;1.000000000000;1.000000000000;Gerente Corporativo de Desarrollo y Talento;Constructor Civil;2.000000000000;Chileno;1.000000000000;6.000000000000;6.000000000000;6.000000000000;5.000000000000;5.000000000000;6.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;5.000000000000;4.000000000000;3.000000000000;5.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;4.000000000000;3.000000000000;2.000000000000;5.000000000000;5.000000000000;3.000000000000;3.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;4.000000000000;4.000000000000;6.000000000000;5.000000000000;2.000000000000;3.000000000000;3.000000000000;1.000000000000;6.000000000000;2.000000000000;5.000000000000;-463.000000000000;131.000000000000;-406.000000000000
100.000000000000;699.000000000000;1.000000000000;1.000000000000;2.000000000000;54.000000000000;21 años;1.000000000000;1.000000000000;subgerente equipos Mina;tecnico mecanico e Ingeniero en control de gestión;1.000000000000;Chilena;1.000000000000;2.000000000000;3.000000000000;3.000000000000;2.000000000000;2.000000000000;3.000000000000;2.000000000000;1.000000000000;2.000000000000;2.000000000000;1.000000000000;3.000000000000;1.000000000000;2.000000000000;3.000000000000;3.000000000000;3.000000000000;2.000000000000;2.000000000000;2.000000000000;1.000000000000;2.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;2.000000000000;2.000000000000;2.000000000000;2.000000000000;1.000000000000;1.000000000000;2.000000000000;2.000000000000;1.000000000000;2.000000000000;7.000000000000;1.000000000000;2.000000000000;2.000000000000;2.000000000000;2.000000000000;4.000000000000;-2698.000000000000;-2372.000000000000;-2347.000000000000
100.000000000000;2227.000000000000;1.000000000000;1.000000000000;1.000000000000;38.000000000000;3.000000000000;2.000000000000;1.000000000000;GERENTE GENERAL;ASISTENTE SOCIAL;2.000000000000;CHILENA;1.000000000000;5.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;6.000000000000;5.000000000000;4.000000000000;6.000000000000;6.000000000000;6.000000000000;5.000000000000;3.000000000000;3.000000000000;4.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;6.000000000000;5.000000000000;6.000000000000;6.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;6.000000000000;5.000000000000;5.000000000000;2.000000000000;5.000000000000;110.000000000000;-980.000000000000;-716.000000000000
100.000000000000;4998.000000000000;1.000000000000;1.000000000000;2.000000000000;58 años;13 años;1.000000000000;2.000000000000;Jefe de Gestión Social;Médico Cirujano;1.000000000000;Peruana;3.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;6.000000000000;5.000000000000;3.000000000000;6.000000000000;7.000000000000;7.000000000000;6.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;7.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;7.000000000000;4.000000000000;7.000000000000;7.000000000000;6.000000000000;7.000000000000;2.000000000000;6.000000000000;1458.000000000000;1224.000000000000;724.000000000000
100.000000000000;715.000000000000;1.000000000000;1.000000000000;2.000000000000;50.000000000000;20.000000000000;1.000000000000;2.000000000000;SUPERVISOR;INGENIERO CIVIL INDUSTRIAL;2.000000000000;CHILENO;1.000000000000;5.000000000000;6.000000000000;5.000000000000;5.000000000000;7.000000000000;6.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;7.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;5.000000000000;5.000000000000;6.000000000000;5.000000000000;5.000000000000;2.000000000000;5.000000000000;140.000000000000;87.000000000000;235.000000000000
100.000000000000;947.000000000000;1.000000000000;1.000000000000;1.000000000000;44.000000000000;2.000000000000;2.000000000000;2.000000000000;control de gestion;contador auditor/ ing comercial;1.000000000000;chilena;1.000000000000;3.000000000000;2.000000000000;3.000000000000;2.000000000000;4.000000000000;6.000000000000;6.000000000000;5.000000000000;3.000000000000;1.000000000000;5.000000000000;6.000000000000;3.000000000000;5.000000000000;5.000000000000;3.000000000000;5.000000000000;5.000000000000;5.000000000000;6.000000000000;4.000000000000;3.000000000000;3.000000000000;2.000000000000;2.000000000000;4.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;3.000000000000;2.000000000000;5.000000000000;5.000000000000;5.000000000000;2.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;2.000000000000;5.000000000000;-691.000000000000;-2110.000000000000;-261.000000000000
100.000000000000;854.000000000000;1.000000000000;1.000000000000;2.000000000000;55.000000000000;25.000000000000;2.000000000000;1.000000000000;Administrador de Gestión;Ingeniero Civil Industrial de Minas;1.000000000000;Chilena;1.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;7.000000000000;5.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;7.000000000000;3.000000000000;7.000000000000;5.000000000000;3.000000000000;6.000000000000;7.000000000000;7.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;3.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;7.000000000000;7.000000000000;7.000000000000;6.000000000000;7.000000000000;5.000000000000;6.000000000000;5.000000000000;7.000000000000;7.000000000000;7.000000000000;2.000000000000;5.000000000000;286.000000000000;439.000000000000;882.000000000000
100.000000000000;527.000000000000;1.000000000000;1.000000000000;2.000000000000;36.000000000000;10.000000000000;2.000000000000;1.000000000000;Administrador de Contrato;Constructor Cvil;1.000000000000;Chilena;1.000000000000;5.000000000000;5.000000000000;6.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;6.000000000000;4.000000000000;5.000000000000;5.000000000000;3.000000000000;6.000000000000;5.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;5.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;6.000000000000;5.000000000000;5.000000000000;6.000000000000;6.000000000000;5.000000000000;5.000000000000;6.000000000000;2.000000000000;5.000000000000;-259.000000000000;-352.000000000000;-96.000000000000
100.000000000000;235.000000000000;1.000000000000;1.000000000000;1.000000000000;33.000000000000;4.000000000000;1.000000000000;2.000000000000;coordinador de analistas de abastecimiento;ingeniera en gestion de operaciones logisticas;1.000000000000;colombiana;1.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;2.000000000000;2.000000000000;-1805.000000000000;-1914.000000000000;-583.000000000000
